mbti,description
esfj,"사교적인 외교관, 친선도모형"
esfj,"동정심이 많고 다른 사람에게 관심을 쏟으며, 나눔과 베풂을 중시한다. 타고난 협력자로서 동료애가 많고 친절하며 능동적인 구성원이다. 수다 떠는 것을 즐기며 정리정돈을 잘하고, 참을성이 많고, 남을 잘 도와준다. 교직, 성직, 판매직, 간호나 의료 분야에 적합하다. 이들은 문제에 대하여 냉철한 입장을 취하기 어려워한다. 반대 의견에 부딪혔을 때나, 자신의 요구가 거절당했을 때 마음의 상처를 많이 받는다."
esfj,"겉보기 특성 - 심리적으로 건강할 경우 사회성이 풍부하며 정이 많고 사람들을 잘 다룬다. 타인의 감정을 잘 배려하는 편이라 싫은 소리를 잘 못하는 편이다. 하지만 심리적으로 불건강할 경우 질투심에서 비롯된 이간질이 심한 편이며, 마음에 안드는 상대에게는 뒷담화와 따돌림도 심심치 않게 하는편."
esfj,"사회에 적응을 잘하는 유형인 만큼, 평균 수입도 어지간히 높은 편이다. 평균적인 IQ는 높지 않지만[27] 회사에서 일 잘한다고 소문이 날 만큼 실무에 강한 직원들이 많다. EQ는 이들의 가장 큰 이점이다."
esfj,"모든 성격 중에 사회 적응력이 가장 뛰어나다고 할 수 있다. 건설적인 기질과 근면성실 면에서는 ESTJ보다 덜하지만, 타인을 본인의 편으로 끌어들이고 사회적인 관계를 형성하는 데 매우 능숙하다. ESFP도 ESFJ 못지않게 처음 보는 사람하고도 쉽게 친해지지만, ESFP는 틀에 박힌 조직사회에 오래 머물기는 다소 어려워한다."
esfj,"사회인격학의 쿼드라 그룹 모형으로는 Alpha 그룹에 속한다. 해당 접근 방법에 의하면 MBTI식 기준으로 ENTP, ISFJ, INTP인 사람과 집단을 형성했을 때 가장 큰 심리적 편안함을 느낀다."
esfj,의존적 · 위계질서 · 보수적 · 선입견 · 생활력과 적응력 · 결과 중심적 · 과거회상 · 예의범절 · 붙임성 · 과장된 리액션 · 스몰 토크 · 관습적 · 조화와 균형 · 평범함 · 사교성 · 팔랑귀 · 의무감 · 기억력 · 습관적 공감 · 선동 · 아부와 아첨 · 체계적 · 규칙과 질서 · 형식적 · 집단주의 · 사회적 평판 중시 · 전통 · 협동심 · 조직 결속력 · 사회적 소속감
esfj,스트레스를 받으면 누군가를 꼭 만나야 한다.
esfj,"다른 사람들과 친밀감, 연대감을 형성하기를 갈망한다. 그러기 위해 자신의 감정, 가치관, 고민 등을 먼저 말하는 경향이 있다."
esfj,내용을 이해했는지와 무관하게 고개를 많이 끄덕인다.[30]
esfj,"남에게 동조하는 경향이 강하며, 사람들과의 상호작용에서 에너지를 많이 얻는다."
esfj,"원칙주의자이며, 기브&테이크를 중요시한다."
esfj,타인의 인정을 받는 것에 아주 민감하다.[31]
esfj,"변화를 싫어하는 편이며[SJ], 비싼 음식을 좋아하고 돈을 모으는 것을 즐긴다."
esfj,"정반대 유형인 INTP에 주로 많이 끌리며, 매우 높은 관심과 애정을 가진 경우가 많다. 외국 커뮤니티 설문조사에서 ESFJ가 좋아하는 유형 1위로 INTP가 뽑혔다.[33][34]"
esfj,조화와 균형을 중요시한다.
esfj,집단의 일이나 목적을 개인의 이익보다 앞세운다.
esfj,1대 1보다는 다수 속에 있는 것을 좋아한다.
esfj,치어리더나 풋볼의 쿼터백처럼 팀의 사기를 불어넣는 역할을 좋아한다.[35]
esfj,여러 사람들의 스포트라이트를 받는 것을 즐긴다.[36]
esfj,국제 정치나 과학 이론과 같은 주제에는 관심이 없다.[37]
esfj,"남들을 챙기는 것을 즐기는 편이지만, 책임감 때문에 어쩔 수 없이 챙길 때도 많다."
esfj,"단순한 성격으로, 복잡한 세상을 편하게 살아간다. 하지만 자신만의 가치관이나 인생관은 부족하다."
esfj,리액션이 크다.
esfj,"처음에는 가식적인 공감을 하다가도 귀가 얇아서 '오, 이 말도 일리가 있는데?' 하며 설득 당하는 경우도 잦다."
esfj,현실과 직결되지 않는 이야기를 하면 잘 이해하지 못한다.[SJ]
esfj,타인을 이해하기 힘들 경우 그냥 넘어갈 가능성이 크다.
esfj,가까운 친구나 지인들의 일거수일투족을 모두 알기를 원한다.[39]
esfj,"계급과 위계질서를 잘 따르며, 타인도 그러길 원한다.[SJ]"
esfj,자신이 옳다고 생각하는 일에 감정적으로 외골수의 모습을 보인다.
esfj,"윗사람에 아첨을 잘하며, 즉각적인 요구를 잘 파악해서 이행하기 때문에 주로 직장에서 빠르게 적응하는 편이다."
esfj,자연스럽게 분위기를 주도하거나 리더 역할을 맡는 경우가 많다.
esfj,완벽주의 기질을 가지고 있다.
esfj,자신이 존경하는 사람이나 물건을 이상화하는 경향이 있다.[41]
esfj,"의사결정을 할 때, 성급하게 결정하여 중요한 점을 간과할 때가 많다."
esfj,시간 관념이 엄격하여 약속된 시간은 꼭 지키려는 경향이 있다. 시간이 여유롭게 남았음에도 불구하고 조급해하기도 한다.[SJ]
esfj,이성을 볼 때도 첫눈에 반해서 좋아하기보다는 옆에서 지켜보다 괜찮은 사람이라고 생각되면 온 마음을 바쳐 헌신한다.
esfj,이해를 바탕으로 한 암기보다 무작정 암기를 잘한다.[SJ]
esfj,정이 굉장히 많다. 좋아하는 사람들에게 애정을 쏟으며 선물하는 것을 좋아한다.
esfj,"타인에 관련된 것엔 눈치가 굉장히 빠르나, 자기 자신과 관련된 것에는 둔한 경우가 많다.[44]"
esfj,소외된 사람들을 무리에 동화시키고자 하는 욕구가 강하다.[45]
esfj,기본적으로 친절한 편이나 상황에 따라 칼 같은 면모를 보인다. [46]
esfj,"돈보다는 사회적 지위, 권위, 명예를 추구하는 편이다."
esfj,"자만심이 높은 편이며, 자신의 업적을 타인에게 과장해서 설명한다."
esfj,넓은 인간관계를 중시하기 때문에 상대방의 입장에서는 바람둥이로 여길 수 있다.
esfj,사람들의 이름과 얼굴을 잘 기억하고 구분한다. [47]
esfj,자신과 타인에 관한 정보를 널리 퍼뜨리는 것을 좋아한다.
esfj,긍정적이고 낙천적인 편이다.
esfj,자신과 주변을 발전시키기보다는 현재 위치와 생활을 유지하면서 살아간다.
esfj,남들을 잘 챙기고 부탁에 거절을 잘 안 하면서도 자신의 이득도 잘 챙긴다.
esfj,"공부에 관심이 덜한 편이지만, 성실한 성격이므로 공부하겠다는 마음을 먹으면 열심히 한다."
esfj,상대가 안 좋은 감정을 드러내면 하루종일 그 생각 뿐이다.
esfj,"잘못한 부분에 자책이 심하고, 자기검열을 통해 개선하려고 노력한다."
esfj,"귀가 얇다. 상황에 따라, 주위 사람들의 반응에 따라 생각이 잘 변한다."
esfj,"일을 할 때, 의무감에 최우선 가치를 둔다.[SJ]"
esfj,한번 시작했으면 끝을 봐야 한다.
esfj,"불건강한 ESFJ는 불만을 직접 얘기하는 것을 피하고, 대신 뒤에서 험담을 할 수도 있다."
esfj,"부기능인 Si(내향 감각)으로 과거 회상을 좋아하고, 남들이 기억하기 힘든 세세한 추억들까지 간직하고 있는 경우가 많다.[SJ] 반대로 나쁜 기억 역시 쉽게 잊지 못한다.[50]"
esfj,"부기능과 3차기능이 각각 Si(내향 감각), Ne(외향 직관)으로, 이를 통해 썰을 풀면서 자신만의 토크쇼를 여는 데 굉장히 재주가 있다."
esfj,불건강한 경우 비판을 건설적인 조언으로 받아들이지 않고 감정적으로 반응한다. 비판하는 사람이 틀린 것이라며 자신을 합리화한다.
esfj,자신의 친절함과 베풂을 다른 사람들이 알아주고 고마워하기를 기대하는 편이다.[51]
esfj,다른 사람에게 관심을 받지 않으면 시무룩해진다. 자신에게 잘 다가오지 않고 머뭇거리는 상대도 불편해한다. [52]
esfj,사회적으로 포용적인 마음을 가졌다. 타인의 감정에 민감하기 때문에 자신과 관련이 없는 일에도 간섭할 수 있다.[53]
esfj,"팀워크를 장려하며, 재치 있고 건설적인 태도를 보여주어 신뢰를 산다.[54]"
esfj,다른 사람으로부터 선의와 헌신을 이끌어내는 데 뛰어나다.[55]
esfj,생활력은 강하지만 급변하는 환경에 적응하기 어려워한다. 또한 미래의 변화를 예측하는 능력이 부족하다.[SJ]
esfj,"열등 기능이 Ti(내향 사고)로 지적인 역량을 쌓는 것에 그닥 관심이 없다. 또한 논리적인 원리를 분석하는 것에 어려움을 느끼며, 논리분석적인 사람들을 잘 이해하지 못한다."
esfj,"비판을 비난으로 받아들이는 경향이 있다. 상대의 날카로운 비판에 매우 예민하고, 이를 마음에 계속 담아두고 평생 기억할 수 있다."
esfj,혼자서 문제를 끈기 있고 집요하게 해결하는 능력이 부족한 편이다.
esfj,"자기 객관화에 다소 부족한 모습을 보이고, 자신을 매우 과대평가하거나 매우 과소평가하는 경향이 있다.[57]"
esfj,"집단의 분위기에 동화되는 것을 선호하며, 다른 사람들도 그러길 바란다.[58][FJ]"
esfj,평균 소득이 F(감정형) 중에서는 가장 높다.[60] 전체 순위는 7위로 1위부터 6위까지는 모두 T(사고) 형이다.
esfj,"ESFJ는 사람을 좋아하고 감정을 잘 표현하는 타입입니다. 상대방에게 관심을 가지고 표현하는 만큼 상대방도 자신에게 똑같이 해주길 원할 수 있습니다. 이들은 주변인을 잘 챙기고 고민도 잘 들어주는 편이라 연인에게도 다정한 스타일입니다. 공감도 애정 표현도 잘해주는 유형이며, 결혼 후에도 가정적인 배우자가 될 확률이 높습니다."
esfj,"ESFJ 특유의 양육 방식은 과잉보호를 하게 된다. 자녀들을 여러 방면에서 통제하고자 힘을 쏟는다. 이러한 양육 방식은 자녀의 자립심을 방해하고, 자유를 제한한단 점에서 문제가 있다. 야망이 크고 독립적인 자녀와는 원수지간이 되기 쉽다."
esfj,"ESFJ 부모는 안정성과 조화에 무게를 두기에, 이는 자녀들에게 간접적으로 압박을 느끼게 할 수 있다. 전통적인 역할에만 의존하여 자식이 부모의 권위에 무조건 순종을 하도록 한다."
esfj,"이 면이 지나칠 경우, 사춘기가 온 자녀와 충돌이 생길 수도 있다. ESFJ는 학교 교육에서부터 성인이 되어 사회 생활에 이르기까지 자녀들의 모든 삶을 통제하고 싶어할 가능성이 높다. 이는 아이가 성장하면서 독립을 주장할 때 갈등을 일으키는 요인이 된다."
esfj,"그 밖에도 불건강한 ESFJ 부모는 자녀가 저지른 잘못으로 인해 문제가 일어났음에도 자녀를 감싸돌 수 있으며, 심각하면 자녀의 잘못을 피해자에게 그대로 떠넘기는 악행을 저지르기도 한다."
esfj,"환경의 조화에 매우 높은 가치를 두며, 주변 분위기에 적응하는 타고난 능력을 가지고 있다. 이를 통해 다양한 감정을 쉽게 느낄 수 있다. 공격성, 거친 말, 고함 등은 ESFJ에게 많은 내면적 혼란을 야기한다."
esfj,"앞으로 무슨 일이 일어날지, 어떤 순서로 일어날지 미리 알고 준비하고 싶어한다. 학교에서는 자신이 해야 하는 것이 무엇인지 정확히 알고 싶어하며, 규칙이 명확하고 일관되기를 원한다."
esfj,다른 유형의 아이들보다 부모에게 닥친 어려움에 대해 더 걱정하는 경향이 있다.
esfj,실질적인 방법으로 친구들을 돕는 것을 좋아한다. 특히 불쌍한 사람들을 돕기 위해 노력한다. 하지만 어린 시절에는 잘못하면 친구들이 이를 이용할 수도 있다.
esfj,"꼼꼼하고 목표 지향적이며, 매우 높은 기준을 고수한다. 모든 것을 완벽하게 만드는 데 너무 몰두해 그 과정에서 스트레스를 받을 수 있다."
esfj,"ESFJ의 성격은 타인 배려와 업무 지향성이 혼합되어 있다. 비록 동료들과 개인적인 관계를 형성하는 걸 즐기지만, 목표지향적으로 업무를 완수하기를 원하기도 하다."
esfj,"ESFJ와 의사소통할 때는 따뜻하게 격려하고, 긍정적으로 과제에 접근해야 한다. ESFJ는 타인의 따뜻함과 일에 대한 진지한 접근에 진심으로 감사해한다."
esfj,구체적 증거와 실질적 적용법을 말하라
esfj,ESFJ는 주장을 뒷받침할 구체적인 증거뿐만 아니라 정보의 실질적인 적용을 원하는 실용적이고 현실적인 사람들이다. 그들은 즉각적인 적용이 불가능한 장기적인 계획이나 추상적인 아이디어에 대해 토론하는 것을 싫어한다.
esfj,ESFJ에게는 데이터를 사용하여 사실을 뒷받침하고 정확한 정보를 제공해야 한다. 그들은 근거가 없는 막연한 정보를 좋아하지 않는다.
esfj,"ESFJ는 보수적인 사람이다. 현재 상황을 중시하며, 새로운 환경을 맞이할 땐 일련의 절차를 거치고 싶어한다. 새로운 정보를 전달할 때는 조직 내부의 정책과 일치하는지 확인하려고 한다."
esfj,"그들에게 새로운 과제를 줄 때는 목표를 뿐만 아니라 그 목표에 도달하기 위한 과정도 함께 전달해야 한다. 그들은 이전에 성공했던 방식을 고수하고, 그 방식대로 계속 하는 것을 선호한다."
esfj,"ESFJ는 상황이 어떻게 되어야 하는지에 대한 강한 신념과 가치관을 가지고 있다. 그들은 이러한 믿음을 소중히 간직하고 있고, 본인의 개인적인 정체성의 일부로 여긴다."
esfj,"무심코 한 발언이 ESFJ의 신념을 훼손할 때, 그것은 잠재적으로 ESFJ와의 갈등으로 이어질 수 있다. ESFJ가 중요하게 여기는 것이 무엇인지를 캐주얼한 대화나 개인적인 공유를 통해 알아보는 것부터 시작하는 것이 항상 좋다. 그래야 갈등을 일으킬 수 있는 말이 무엇인지 알고 이를 피할 수 있다."
esfp,"연예인 주저하지 말고 매 순간을 즐겨라 엘튼 존 연예인(ESFP)은 즉흥적으로 노래하고 춤을 추는 일을 즐기는 성격입니다 이들은 지금 이 순간을 즐기며 남들도 자신과 같은 즐거움을 느낄 수 있기를 바랍니다 또한 남을 응원하는 데 기꺼이 시간과 에너지를 투자하며, 매우 매력적인 방식으로 다른 사람의 기운을 북돋곤 합니다 열정적인 삶 연예인은 다른 사람의 관심을 즐기며 세상을 하나의 무대로 생각합니다 연예인 성격을 지닌 사람은 배우로 일하는 경우가 많으며, 친구와 외출할 때는 파티처럼 즐거운 분위기를 유지하는 역할을 합니다 이들은 매우 사교적인 성격으로 사소한 일도 즐거워하며 친구들과 재미있는 시간을 보내는 일에서 큰 만족감을 느낍니다 또한 연예인은 미적 감각과 패션 감각이 매우 뛰어난 성격으로 자신과 집을 멋지게 꾸미는 일에도 소질이 있습니다 이들은 매력적인 물건을 한눈에 알아보며 자신의 스타일에 맞게 주변을 변화시키곤 합니다 또한 선천적으로 호기심이 많은 성격이기에 자유롭게 새로운 디자인과 스타일을 시도해 보기도 합니다 연예인이 자신에만 집중하는 것처럼 보일 수도 있지만, 사실은 관찰력이 뛰어나며 빠르게 다른 사람의 감정을 알아차리는 성격입니다 이들은 다른 사람이 자신의 문제에 대해 이야기할 수 있도록 돕고, 다른 사람의 문제에 공감하며 실질적인 조언을 제공하곤 합니다 그러나 다른 사람과 갈등이 발생하면 문제를 해결하기보다는 아예 소통을 거부하기도 합니다 또한 열정과 즐거움을 추구하며 다른 사람의 비판을 받는 일은 달가워하지 않습니다 즉흥적인 즐거움 추구 연예인이 겪을 수 있는 가장 큰 문제는 즉흥적인 즐거움을 추구하는 과정에서 의무와 책임을 무시할 수 있다는 것입니다 또한 복잡한 분석이나 반복적인 작업이나 통계치를 실제 결과에 대입하는 일 등에는 큰 소질이 없습니다 이들은 보통 행운이나 우연한 기회에 의존하거나 친구들에게서 도움을 받곤 합니다 그러나 은퇴 계획이나 건강 관리 등의 장기적인 계획은 스스로 챙길 수 있도록 노력하는 것이 중요합니다 연예인은 물건의 가치와 품질을 파악하는 데 뛰어난 소질을 지니고 있습니다 그러나 계획성이 부족한 편이기 때문에 신용 카드를 과다하게 사용하는 등 사치에 빠지게 될 위험이 있습니다 또한 장기적인 목표를 수립하기보다는 새로운 기회를 발견하는 데 집중하느라 주의가 산만해질 때가 있습니다 연예인은 원할 때 친구들과 어울리지 못하는 경우 슬픔을 느낍니다 연예인은 주변 사람을 웃게 하고 활기를 북돋우며 새롭고 즐거운 일을 시도합니다 또한 모든 사람을 즐겁게 할 때 큰 행복감을 느낍니다 이들은 오랫동안 이야기하는 일을 즐기며 사랑하는 사람과 즐거움과 슬픔을 함께 나누곤 합니다 일의 우선순위를 적절히 정할 수만 있다면 친구와 함께 신나고 참신한 일을 언제든지 걱정없이 즐길 수 있을 것입니다"
esfp,"자유로운 영혼의 연예인, 슈퍼스타형"
esfp,"사교적이고 활동적이며 수용력이 강하고, 친절하며 낙천적이다. 어떤 상황이든 잘 적응하며 현실적이고 실질적이다. 주변에 관심이 많으며, 사람이나 사물을 다루는 사실적인 상식이 풍부하다. 그러나 이론적인 상식 면에선 놀라울 만큼 약할 수도 있다. 때로는 진지함이 결여되거나 마무리를 등한시하는 경향이 있으나, 조직이나 공동체에서 밝고 재미있는 분위기 조성 역할은 잘하는 편이다."
esfp,"사회인격학의 쿼드라 그룹 모형으로는 Gamma 그룹에 속한다. 해당 접근 방법에 의하면 ISFP, ENTJ, INTJ인 사람과 집단을 형성했을 때 가장 큰 심리적 편안함을 느낀다.[주의사항] 사회인격학의 갈등 관계(Conflict, Conflicting Relations) 분석에서, 가장 상극인 MBTI 유형은 INTP 이다. [28]"
esfp,"다만 같은 쿼드라 그룹 모형에 속하는 INTJ/ENTJ,INFJ/ENFJ랑은 첫 대면시 서로의 다른 성격에 끌려서 연인이 되는 경우가 많지만, 서로의 사고방식이 너무 달라 소통방식에서 차이가 크기에 자주 싸우거나 안맞다고 느낄 수 있다."
esfp,독립적 · 낙천적 · 인기 욕심 · 생활력과 적응력 · 개인주의 · 스포트라이트 · 인간관계 감수성 · 붙임성 · 개성 · 일상적 소통 · 감정적 · 개방적인 인간관계 · 도전과 즉흥 · 사회적 현실감각 · 가족애 · 행동력 · 솔직함 · 공감과 이해 · 명랑함 · 분위기 메이커 · 자율성 · 의사표현 · 문화 생활 · 융통성 · 관심과 애정 · 개방적 · 충동적 · 유행에 민감 · 수용적
esfp,Se(외향 감각)이 주기능이라서 예민한 신경으로 인한 오감 발달과 인지 능력이 발달되어 있다.
esfp,"신나고 재미있는 성격으로, 분위기 메이커의 역할을 한다. 그러나 불건강한 경우엔 본인의 흥겨운 기분에만 취해 주변인들의 기를 빨아먹기도 한다."
esfp,모든 MBTI 유형 중 외향적 성향이 ESFJ와 함께 가장 강한 편이다.
esfp,가장 열정적이거나 가장 쾌활한 성격일 가능성이 높다.
esfp,승부욕이 강한 경우가 많다.
esfp,"천성적으로 친화력이 높고 사교적인 성격으로, 사람들과 쉽게 친해진다. 특유의 사교성 덕에 사람에 대한 데이터가 잘 쌓이며, 이러한 경험치 덕에 사람에 대한 통찰력이 있는 편이다."
esfp,사람들을 편견없이 잘 받아들이는 관용적인 성격이다.
esfp,인생을 하루하루 즐겁게 사는 데 가장 집중한다.
esfp,"좋아하는 사람과 싫어하는 사람이 분명하다. 싫어하는 사람은 앞에서 비난하기보단, 뒤에서 험담하고 따돌리는 분위기를 조성하는 편이다."
esfp,"건망증이 있는 편이고, 감정적이고 충동적이다."
esfp,타인을 기쁘게 해 줄 서프라이즈를 준비하면서 즐거워한다.
esfp,자신의 이야기를 누구에게나 솔직하게 잘 털어놓는 편이다.
esfp,"책임을 회피하려고 하며, 애초에 책임이 막중한 일은 하려 들지 않는 경우도 있다. 하지만 반대로 ExFx 특유의 오지랖으로 인해 온갖 감투를 다 쓰는 ESFP 유형도 있다."
esfp,발등에 불이 떨어져야만 일을 시작한다.
esfp,"잘 먹고, 잘 자고, 생각이 단순하다. 고민을 하다가도 그냥 잠든다."
esfp,혼자 있는 것을 힘들어한다. 늘 사람을 옆에 두려고 한다.
esfp,불건강한 경우 자신의 책임을 내팽개치고 즐거움만 추구한다.
esfp,"지루한 것을 견디지 못한다. 그래서 독서, 공부 등 가만히 앉아서 하는 것을 매우 싫어한다."
esfp,조직생활보다는 자유로울 때 능력을 발휘한다.
esfp,하고 싶은 말은 많은데 정작 하고 싶은 말은 못한다.
esfp,말 자체는 많이 하는데 질은 떨어지는 편이다. 말에 임팩트가 없고 체계적/논리적이지 못한 것도 꽤 많다.
esfp,"언뜻 보기엔 시적 감수성이 있어 보이지만, 표현이 오글거리고 식상한 편이다."
esfp,웃음도 많고 눈물도 많다. 사소한 일에도 감정이 잘 복받쳐 조울증처럼 보일 때도 있다.
esfp,이야기할 때 요점과 더불어 부연 설명을 많이 덧붙인다. 이것에 다른 사람들은 숨이 막힐 수 있다.
esfp,귀가 얇고 입이 가볍다.
esfp,"틀에 박힌 것을 매우 싫어하고, 계획에 따라 행동하는 것을 힘들어한다."
esfp,부기능이 Fi(내향 감정)라 내향적인 사람들과도 잘 어울린다.
esfp,개성적인 매력이 있는 편이다.
esfp,지나친 규율이나 관료주의를 싫어한다.
esfp,대개 계획없이 자유로이 떠나는 충동적인 여행을 즐긴다. 하지만 반대로 여행의 한 순간도 놓치지 않으려고 해 오히려 강박증에 가까울 정도로 계획에 집착하기도 한다.
esfp,매우 덜렁거린다.
esfp,인터넷 커뮤니티에서 보기 어려운 유형이다. 특히 오타쿠들이 모이는 커뮤니티에서는 거의 찾아볼 수 없다.
esfp,"매우 사교적, 활동적이며 즐거움을 추구하기 때문에 소위 일진, 양아치의 비율이 가장 높은 유형이다."
esfp,모든 MBTI 유형 중 평균적인 행복도가 ESFJ와 함께 가장 높다.[32]
esfp,"실제 경험을 통해 배우는 것을 선호하고, 책에서 배우는 것과 이론적 토론을 싫어하는 경향이 있다."
esfp,일상적인 것을 싫어하고 새로운 경험을 끊임없이 즐기려고 한다.
esfp,"재미 있는 경험에 대한 이야기, 흥미로운 사람들에 대한 일화 등을 좋아한다. 자신의 가치와 의견을 표현하는 대화도 즐긴다.[33] 대중 문화뿐 아니라 도덕, 심지어 종교에 관한 토론에도 끌릴 수 있다."
esfp,"건강한 경우 정직하고 솔직하지만, 불건강할 경우 매우 가식적이다. 여우나 꽃뱀 스타일이 많다."
esfp,"갈등을 기피하고, 비판적인 의견을 개인적으로 받아들이는 경향이 있다."
esfp,건강하지 않을 경우 다른 사람에게 의존하는 경향이 심해질 수도 있다.
esfp,대학수학능력시험 표본 평균 점수는 문과로 지원하는 것이 유리한 것으로 나타났다.[34]
esfp,xSxP 중에 수학 성적(학업성취도)이 안 좋은 사람들은 '학습목표를 장기와 단기로 나누어 꾸준히 실천하는 전략'이 필요하다고 조언된다.[35]
esfp,무대의 중심에 서는 것과 관심을 즐긴다.
esfp,감정형(F)치고는 사고형(T)에 다소 가까울 수 있다. 부기능 Fi(내향 감정)과 3차 기능 Te(외향 사고)의 조합으로 자기가 하고 싶은 것을 할 때는 누구보다 열정적이고 적극적인 리더십도 발휘한다. 하지만 싫어하는 것은 죽어도 안 하는 경향이 있다.
esfp,통제를 많이 하지 않고 개방적이다.
esfp,불건강한 경우 오냐오냐형 부모의 모습을 보인다.
esfp,자녀와 여행을 많이 다닌다.
esfp,"자녀의 학업보다는 사회성, 즐거움, 행복을 중요시한다.[36]"
esfp,자녀와 대화를 많이 하며 잘 놀아 준다.
esfp,학부모 모임 등엔 빠지지 않고 참석한다. 모임에 자녀를 데리고 가기도 한다
esfp,개방적이고 자유롭기 때문에 덜렁거린다는 소리를 많이 듣는다.
esfp,놀기를 매우 좋아한다. 집에 가만히 있기보다 밖에서 에너지를 뿜어내고 싶어한다.
esfp,화려하게 꾸미는 것을 좋아한다. 어릴 때부터 화장을 하기도 한다.
esfp,관심사와 지식이 넓고 얕은 편이다. 많은 걸 아는 것처럼 보여도 깊이 있는 질문을 던지면 바로 구멍이 보인다.
esfp,"대체적으로 공부를 가장 싫어하는 경우가 많다. 하지만 중학생 땐 공부를 잘하는 케이스도 있는데, 주기능 Se 특유의 단기기억력 때문이다.[37]"
esfp,처음 만난 아이들과도 금방 친해진다.
esfp,친구가 많아 학창시절 '핵인싸' 등의 별명을 많이 듣는다.
esfp,일진 등 비행 청소년이 되는 경우가 많다. [38]
esfp,"항상 에너지가 넘치고, 주변에 친절하며 낙천적이다."
esfp,"친구에게 TMI를 굉장히 많이 남발하는 편이며, 뒷담화도 잘한다."
esfp,마음에 안 드는 아이는 겉으로는 친절하게 대하며 교묘하게 따돌리기도 한다. [39]
esfp,"매우 적극적인 성격으로, 반의 분위기를 휘어잡는다. 학급임원 자리를 독점하는 경우도 있다."
esfp,"예체능에 소질이 있는 아이들이 많다. 장기자랑이나 학교 축제, 운동회 등에서 주된 역할을 한다."
esfp,갈등 상황에서 논리와 팩트로 해결하기보단 장문의 카톡 등으로 상대의 진을 빼놓는다.
esfp,불건강한 경우 정신상태가 아예 밖에 나가 있을 수도 있다.
esfp,친구가 많고 연애도 일찍이 시작하는 편이다. 친구를 만나기 위해 학원을 다니는 경우도 있다.
esfp,"사교적이고 낙천적인 ESFP는 적극적으로 사랑을 표현하는 경우가 많습니다. 이들은 사랑꾼 기질이 다분한 타입이며, 기본적으로 연인과 함께 시간 보내는 걸 좋아합니다. 한번 사랑에 빠지면 상대방의 장점을 보기 위해 꾸준히 노력하며, 로맨틱하게 상대방에게 깜짝 이벤트를 열어주기도 합니다. 전체적으로 재미있고 즐겁게 연애하기에 좋은 유형입니다. 대신 ESFP는 생각이 자주 바뀌는 편이라 상대방이 당황할 수도 있습니다. 또한 ESFP는 열정적으로 연애를 하는 타입이기 때문에 이별 후 미련을 남기지 않습니다."
esfp,연예인
esfp,"영업사원, 딜러"
esfp,서비스직
estj,"경영자 적절한 질서는 모든 것의 기초이다 에드먼드 버크 경영자(ESTJ)는 전통과 질서를 중시하는 성격으로, 자신이 생각하는 옳고 그름과 사회적 기준에 따라 가족과 공동체가 화합할 수 있도록 노력합니다 이들은 정직과 헌신과 존엄성을 중시하며, 어려운 길을 기꺼이 앞장서고 다른 사람들에게 명확한 조언과 지도를 제공합니다 이들은 사람들이 화합하도록 하는 일에서 자부심을 느끼며, 모든 사람이 지역 축제를 즐길 수 있도록 노력하거나 가족과 공동체의 전통적인 가치관을 지키는 역할 등을 맡곤 합니다 모범을 보이는 지도자 경영자의 지도력은 민주 사회에서 특히 중요한 능력이며 경영자는 전체 인구의 11% 이상을 차지하고 있습니다 이러한 점을 생각하면 미국 대통령의 다수가 경영자 성격이라는 것도 그리 놀라운 사실이 아닙니다 이들은 법치주의를 신봉하고 권위를 얻으려면 합당한 노력을 해야 한다고 생각합니다 경영자는 직접 헌신하고 정직하게 행동하며, 나태함이나 부정행위는 단호히 거절함으로써 모범을 보이는 지도자입니다 이러한 성향은 특히 직장에서 두드러지며, 일을 성취하기 위해서는 직접 열심히 일해야 한다고 하는 사람이 있다면 바로 경영자일 것입니다 경영자는 주변을 관찰하는 능력이 뛰어나며 명확하고 입증 가능한 사실을 중시합니다 또한 자신의 지식에 강한 믿음이 있기에 강한 저항에 부딪히더라도 원칙에 따라 자신의 비전을 밀어붙입니다 또한 어려운 프로젝트에 참여해 행동 계획을 개선하고 세부 사항을 정리하는 등 직접 행동하며, 어려운 작업도 손쉽게 처리할 수 있는 능력을 지니고 있습니다 그렇다고 경영자가 혼자 일하는 성격은 아닙니다 이들은 다른 사람도 자신만큼 믿을 수 있고 높은 업무 윤리를 지닌 사람이기를 바랍니다 무능력하거나 게으르거나 부정직한 동료나 부하 직원을 발견하면 분노를 표출하곤 합니다 이 때문에 경영자는 다른 관리자형 성격과 마찬가지로 융통성이 없는 사람이라는 평가를 받을 때가 있습니다 그렇다고 경영자가 자신의 방식만을 고집하는 완고한 성격은 아닙니다 다만 성실함과 정직함이 사회에 꼭 필요한 가치라고 믿고 있을 뿐입니다 높은 책임감 경영자는 모범 시민의 대표적인 예시라고 할 수 있습니다 이들은 이웃을 돕고 법을 준수하며 모든 사람이 집단과 조직에 이바지할 수 있도록 노력합니다 경영자는 모든 사람이 같은 길을 가거나 같은 방식으로 기여할 필요는 없다는 사실을 이해하는 데 어려움을 겪습니다 하지만 진정한 지도자라면 개인과 집단의 강점을 파악하고 다른 사람들이 아이디어를 제시할 수 있도록 도와야 합니다 이를 기억한다면 강점을 유지하면서도 모든 사람에게 도움이 되는 방식으로 사람들을 이끌 수 있을 것입니다"
